stratum_name,propertyType,price,rooms,baths,area,administration_price,age,garages,gmaps_geolocations_lat,gmaps_geolocations_lng,published_year,published_month
5.19902,1.0,897582200.0,3.1197472,2.8387117,137.13391,529686.94,2.0957801,2.0916314,6.152794,-75.58135,2023.1031,9.035502
5.19052,1.0,923130800.0,3.052487,2.860882,135.28123,364361.78,0.9716949,2.0884066,6.1579556,-75.58025,2023.1743,8.183492
5.195388,1.0,909205600.0,2.9949007,2.8033166,129.84904,404954.25,0.9679193,2.0644171,6.1660585,-75.577446,2023.1786,8.191356
5.2787757,1.0,957121100.0,2.9815326,2.8564348,134.38574,514797.75,1.0398682,2.20293,6.1579905,-75.57638,2023.3082,7.125938
3.886601,0.99995124,417551100.0,3.1903489,2.2447696,103.33796,15161.149,2.358702,0.011903691,6.2336707,-75.58012,2023.5586,3.1472144
